"region"	"type of building"	"period of construction"	"year"	Number of dwellings
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2020"	61103
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"-1930"	"2021"	61245
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2013"	20580
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2014"	20595
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2015"	20668
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2016"	20645
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2017"	20756
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2018"	20811
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2019"	20749
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2020"	20759
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1931-1940"	"2021"	20712
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2013"	20985
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2014"	20977
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2015"	21053
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2016"	21112
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2017"	21168
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2018"	21356
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2019"	21320
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2020"	21312
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1941-1950"	"2021"	21213
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2013"	21579
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2014"	21581
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2015"	21664
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2016"	21738
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2017"	21936
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2018"	21661
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2019"	21607
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2020"	21711
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1951-1960"	"2021"	21540
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2013"	31544
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2014"	31506
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2015"	31563
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2016"	31695
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2017"	31709
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2018"	31801
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2019"	31755
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2020"	31781
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1961-1970"	"2021"	31743
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2013"	47936
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2014"	47913
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2015"	47958
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2016"	48072
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2017"	48075
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2018"	48056
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2019"	47995
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2020"	47971
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1971-1980"	"2021"	48017
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2013"	19653
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2014"	19810
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2015"	19777
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2016"	19898
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2017"	19897
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2018"	19987
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2019"	19867
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2020"	19906
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1981-1990"	"2021"	19943
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2013"	6125
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2014"	6171
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2015"	6215
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2016"	6355
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2017"	6344
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2018"	6334
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2019"	6384
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2020"	6429
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"1991-2000"	"2021"	6424
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2013"	4395
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2014"	4459
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2015"	4521
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2016"	4904
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2017"	4931
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2018"	4955
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2019"	4950
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2020"	4974
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2001-2010"	"2021"	4966
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2013"	516
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2014"	695
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2015"	969
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2016"	1735
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2017"	2228
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2018"	2674
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2019"	2993
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2020"	3479
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2011-2020"	"2021"	3688
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2013"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2014"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2015"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2016"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2017"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2018"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2019"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2020"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"2021-"	"2021"	279
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2013"	1049
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2014"	775
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2015"	690
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2016"	1377
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2017"	1376
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2018"	1122
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2019"	1142
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2020"	1142
"SKL07 manufacturing municipalities (54 municipalities)"	"one- or two-dwelling buildings"	"data missing"	"2021"	1126
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2013"	6758
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2014"	6855
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2015"	6966
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2016"	7173
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2017"	7160
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2018"	7234
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2019"	7276
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2020"	7361
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"-1930"	"2021"	7312
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2013"	3592
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2014"	3632
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2015"	3678
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2016"	3689
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2017"	3718
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2018"	3773
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2019"	3782
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2020"	3812
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1931-1940"	"2021"	3820
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2013"	17628
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2014"	17816
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2015"	17857
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2016"	17921
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2017"	17937
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2018"	18228
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2019"	18277
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2020"	18343
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1941-1950"	"2021"	18344
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2013"	35864
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2014"	35899
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2015"	35927
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2016"	35932
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2017"	35925
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2018"	36045
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2019"	36154
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2020"	36157
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1951-1960"	"2021"	36207
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2013"	43013
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2014"	42998
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2015"	43029
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2016"	43381
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2017"	43480
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2018"	43608
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2019"	43698
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2020"	43802
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1961-1970"	"2021"	43596
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2013"	16956
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2014"	17110
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2015"	17022
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2016"	16597
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2017"	16657
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2018"	16652
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2019"	16410
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2020"	16427
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1971-1980"	"2021"	16337
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2013"	11878
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2014"	11991
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2015"	11995
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2016"	12056
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2017"	12098
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2018"	12171
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2019"	12472
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2020"	12568
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1981-1990"	"2021"	12494
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2013"	6404
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2014"	6443
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2015"	6537
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2016"	6428
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2017"	6486
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2018"	6497
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2019"	6547
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2020"	6601
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"1991-2000"	"2021"	6597
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2013"	1835
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2014"	1922
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2015"	1966
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2016"	1901
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2017"	1901
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2018"	1962
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2019"	1956
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2020"	1952
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2001-2010"	"2021"	1939
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2013"	221
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2014"	487
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2015"	807
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2016"	1277
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2017"	1888
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2018"	2748
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2019"	3858
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2020"	4638
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2011-2020"	"2021"	4794
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2013"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2014"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2015"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2016"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2017"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2018"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2019"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2020"	0
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"2021-"	"2021"	671
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2013"	347
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2014"	171
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2015"	278
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2016"	350
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2017"	478
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2018"	295
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2019"	177
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2020"	206
"SKL07 manufacturing municipalities (54 municipalities)"	"multi-dwelling buildings"	"data missing"	"2021"	303
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2013"	1178
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2014"	1290
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2015"	1371
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2016"	1390
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2017"	1421
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2018"	1559
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2019"	1605
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2020"	1618
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"-1930"	"2021"	1636
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2013"	447
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2014"	494
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2015"	560
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2016"	511
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2017"	534
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2018"	565
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2019"	571
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2020"	560
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1931-1940"	"2021"	564
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2013"	622
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2014"	607
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2015"	635
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2016"	642
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2017"	673
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2018"	689
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2019"	693
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2020"	710
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1941-1950"	"2021"	685
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2013"	985
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2014"	1054
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2015"	1069
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2016"	1076
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2017"	1079
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2018"	1109
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2019"	1144
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2020"	1167
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1951-1960"	"2021"	1172
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2013"	1047
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2014"	993
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2015"	982
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2016"	1036
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2017"	1021
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2018"	1079
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2019"	1106
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2020"	1062
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1961-1970"	"2021"	1089
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2013"	471
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2014"	441
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2015"	457
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2016"	471
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2017"	489
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2018"	494
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2019"	529
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2020"	512
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1971-1980"	"2021"	490
"SKL07 manufacturing municipalities (54 municipalities)"	"other buildings"	"1981-1990"	"2013"	639
